"name,",tested,positive,deaths
AK,1860,59,1
AL,4082,524,1
AR,1868,349,3
AZ,888,508,8
CA,66800,3006,65
CO,10122,1430,24
CT,6500,1012,21
DC,1858,231,2
DE,179,143,
FL,29114,2484,29
GA,8948,1643,56
HI,4447,95,1
IA,2757,179,
ID,2857,189,3
IL,16631,2538,26
IN,4651,645,17
KS,3037,168,3
KY,4016,248,1
LA,18029,2305,83
MA,23621,2417,25
MD,674,580,4
ME,3549,155,
MI,3128,2856,60
MN,12950,346,2
MO,871,502,8
MS,2776,485,6
MT,2680,71,
NC,12910,636,2
ND,2261,58,
NE,1027,73,
NH,3850,137,1
NJ,20537,6876,81
NM,8513,136,
NV,5117,420,10
NY,43334,37258,365
OH,1007,867,15
OK,1208,250,7
OR,7269,316,11
PA,18128,1687,16
RI,1669,165,
SC,2763,456,9
SD,2144,46,1
TN,14909,957,3
TX,21424,1396,18
UT,7710,402,1
VA,6189,460,13
VT,2008,158,9
WA,46380,3207,147
WI,12290,707,8
WV,1102,52,
WY,1105,55,
